Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2021-02-28,Cadiz,Betis,32,30,37,1,1,1,1,0.0,1.0,A
2021-02-28,Granada,Elche,61,23,14,2,1,1,0,2.0,1.0,H
2021-02-28,Villarreal,Ath Madrid,41,24,33,1,1,1,1,0.0,2.0,A
2021-03-01,Real Madrid,Sociedad,44,23,32,2,1,1,1,1.0,1.0,D
2021-03-05,Valencia,Villarreal,37,26,35,1,1,1,1,2.0,1.0,H
2021-03-06,Valladolid,Getafe,43,28,27,1,1,1,0,2.0,1.0,H
2021-03-06,Elche,Sevilla,28,30,40,1,1,0,1,2.0,1.0,H
2021-03-06,Cadiz,Eibar,43,28,27,1,1,1,0,1.0,0.0,H
2021-03-06,Osasuna,Barcelona,24,28,47,1,2,0,1,0.0,2.0,A
2021-03-07,Huesca,Celta,41,26,32,1,1,1,1,3.0,4.0,A
2021-03-07,Ath Madrid,Real Madrid,51,24,23,2,1,1,0,1.0,1.0,D
2021-03-07,Sociedad,Levante,60,20,19,2,1,1,0,1.0,0.0,H
2021-03-07,Ath Bilbao,Granada,49,23,27,2,1,1,1,2.0,1.0,H
2021-03-08,Betis,Alaves,66,22,11,2,1,1,0,3.0,2.0,H
2021-03-10,Ath Madrid,Ath Bilbao,52,23,24,2,1,1,1,2.0,1.0,H
2021-03-12,Levante,Valencia,52,26,21,2,1,1,0,1.0,0.0,H
2021-03-13,Alaves,Cadiz,42,29,28,1,1,1,0,1.0,1.0,D
2021-03-13,Real Madrid,Elche,66,21,12,2,1,1,0,2.0,1.0,H
2021-03-13,Osasuna,Valladolid,45,28,25,1,1,1,0,0.0,0.0,D
2021-03-13,Getafe,Ath Madrid,34,28,37,1,1,0,1,0.0,0.0,D
2021-03-14,Celta,Ath Bilbao,50,23,26,2,1,1,1,0.0,0.0,D
2021-03-14,Granada,Sociedad,40,25,33,1,1,1,1,1.0,0.0,H
2021-03-14,Eibar,Villarreal,33,27,38,1,1,0,1,1.0,3.0,A
2021-03-14,Sevilla,Betis,53,24,22,2,1,1,0,1.0,0.0,H
2021-03-15,Barcelona,Huesca,71,16,11,2,1,1,0,4.0,1.0,H
2021-03-17,Sevilla,Elche,61,23,15,2,1,1,0,2.0,0.0,H
2021-03-19,Betis,Levante,51,25,23,2,1,1,1,2.0,0.0,H
2021-03-20,Ath Bilbao,Eibar,56,24,18,2,1,1,0,1.0,1.0,D
2021-03-20,Celta,Real Madrid,44,25,29,1,1,1,1,1.0,3.0,A
2021-03-20,Huesca,Osasuna,50,27,22,2,1,1,0,0.0,0.0,D
2021-03-20,Valladolid,Sevilla,35,29,35,1,1,1,1,1.0,1.0,D
2021-03-21,Getafe,Elche,54,25,20,2,1,1,0,1.0,1.0,D
2021-03-21,Valencia,Granada,38,27,34,1,1,1,0,2.0,1.0,H
2021-03-21,Villarreal,Cadiz,60,23,16,2,1,1,0,2.0,1.0,H
2021-03-21,Ath Madrid,Alaves,67,20,11,2,1,1,0,1.0,0.0,H
2021-03-21,Sociedad,Barcelona,40,25,34,1,1,1,1,1.0,6.0,A
2021-04-02,Levante,Huesca,55,25,19,2,1,1,0,0.0,2.0,A
2021-04-03,Granada,Villarreal,48,24,27,2,1,1,1,0.0,3.0,A
2021-04-03,Real Madrid,Eibar,65,20,13,2,1,1,0,2.0,0.0,H
2021-04-03,Osasuna,Getafe,40,29,29,1,1,1,0,0.0,0.0,D
2021-04-04,Alaves,Celta,35,29,34,1,1,1,1,1.0,3.0,A
2021-04-04,Elche,Betis,37,29,32,1,1,1,0,1.0,1.0,D
2021-04-04,Cadiz,Valencia,46,28,24,1,1,1,0,2.0,1.0,H
2021-04-04,Sevilla,Ath Madrid,45,26,28,1,1,1,1,1.0,0.0,H
2021-04-05,Barcelona,Valladolid,75,15,8,3,1,1,0,1.0,0.0,H
2021-04-07,Sociedad,Ath Bilbao,51,24,23,2,1,1,0,1.0,1.0,D
2021-04-09,Huesca,Elche,49,26,23,2,1,1,0,3.0,1.0,H
2021-04-10,Getafe,Cadiz,49,27,23,2,1,1,0,0.0,1.0,A
2021-04-10,Ath Bilbao,Alaves,57,23,18,2,1,1,0,0.0,0.0,D
2021-04-10,Eibar,Levante,40,29,29,1,1,0,1,0.0,1.0,A
2021-04-10,Real Madrid,Barcelona,40,23,36,2,2,1,1,2.0,1.0,H
2021-04-11,Villarreal,Osasuna,63,22,14,2,1,1,0,1.0,2.0,A
2021-04-11,Valencia,Sociedad,43,26,29,1,1,1,1,2.0,2.0,D
2021-04-11,Valladolid,Granada,45,27,26,1,1,1,0,1.0,2.0,A
2021-04-11,Betis,Ath Madrid,49,24,26,2,1,1,1,1.0,1.0,D
2021-04-12,Celta,Sevilla,47,25,27,2,1,1,1,3.0,4.0,A
2021-04-18,Osasuna,Elche,49,27,23,1,1,1,0,2.0,0.0,H
2021-04-18,Sociedad,Sevilla,42,27,30,1,1,1,1,1.0,2.0,A
2021-04-18,Alaves,Huesca,42,28,29,1,1,1,1,1.0,0.0,H
2021-04-18,Ath Madrid,Eibar,64,22,12,2,1,1,0,5.0,0.0,H
2021-04-18,Betis,Valencia,58,22,18,2,1,1,0,2.0,2.0,D
2021-04-18,Cadiz,Celta,41,25,33,1,1,1,1,0.0,0.0,D
2021-04-18,Getafe,Real Madrid,30,30,39,1,1,0,1,0.0,0.0,D
2021-04-18,Levante,Villarreal,34,28,37,1,1,1,1,1.0,5.0,A
2021-04-21,Levante,Sevilla,33,29,37,1,1,1,1,0.0,1.0,A
2021-04-21,Osasuna,Valencia,46,26,26,1,1,1,0,3.0,1.0,H
2021-04-21,Betis,Ath Bilbao,55,23,20,2,1,1,0,0.0,0.0,D
2021-04-21,Alaves,Villarreal,23,28,47,1,2,0,1,2.0,1.0,H
2021-04-21,Elche,Valladolid,42,30,27,1,1,1,1,1.0,1.0,D
2021-04-21,Cadiz,Real Madrid,35,28,36,1,1,0,1,0.0,3.0,A
2021-04-22,Ath Madrid,Huesca,66,21,12,2,1,1,0,2.0,0.0,H
