Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,29/12/2020,Barcelona,13,3,12,5,10.0,1.0,Eibar,4,5,5,20,1.0,3.0,D,1.0,1.0,0.0,0.0
2020-21,29/12/2020,Cadiz,3,6,3,16,0.0,2.0,Valladolid,6,8,4,18,0.0,3.0,D,0.0,0.0,0.0,0.0
2020-21,29/12/2020,Levante,6,5,6,13,2.0,2.0,Betis,3,8,4,4,2.0,4.0,H,4.0,3.0,3.0,1.0
2020-21,30/12/2020,Granada,5,10,6,8,2.0,5.0,Valencia,2,6,6,14,1.0,2.0,H,2.0,1.0,1.0,1.0
2020-21,30/12/2020,Ath Madrid,5,1,11,1,2.0,0.0,Getafe,7,4,8,10,4.0,2.0,H,1.0,0.0,1.0,0.0
2020-21,30/12/2020,Celta,8,4,9,11,2.0,1.0,Huesca,3,3,5,16,1.0,1.0,H,2.0,1.0,1.0,0.0
2020-21,30/12/2020,Elche,2,3,5,17,2.0,2.0,Real Madrid,8,6,9,2,3.0,4.0,D,1.0,1.0,0.0,1.0
2020-21,31/12/2020,Ath Bilbao,6,4,10,9,2.0,2.0,Sociedad,6,4,6,7,2.0,3.0,A,0.0,1.0,0.0,1.0
2020-21,31/12/2020,Osasuna,3,11,2,12,2.0,4.0,Alaves,5,7,5,18,3.0,3.0,D,1.0,1.0,0.0,0.0
2020-21,2/1/2021,Villarreal,16,4,15,5,6.0,2.0,Levante,5,12,4,11,4.0,5.0,H,2.0,1.0,1.0,0.0
2020-21,2/1/2021,Betis,6,5,10,1,2.0,2.0,Sevilla,7,4,10,3,6.0,2.0,D,1.0,1.0,0.0,0.0
2020-21,2/1/2021,Getafe,4,2,10,13,1.0,1.0,Valladolid,7,10,4,18,2.0,7.0,A,0.0,1.0,0.0,1.0
2020-21,2/1/2021,Real Madrid,6,2,10,4,3.0,1.0,Celta,8,4,10,7,6.0,2.0,H,2.0,0.0,1.0,0.0
2020-21,3/1/2021,Ath Bilbao,8,6,9,13,4.0,1.0,Elche,3,9,4,19,3.0,1.0,H,1.0,0.0,1.0,0.0
2020-21,3/1/2021,Alaves,5,3,8,17,1.0,0.0,Ath Madrid,12,3,12,1,2.0,1.0,A,1.0,2.0,0.0,1.0
2020-21,3/1/2021,Eibar,4,5,5,20,1.0,2.0,Granada,7,11,9,8,3.0,4.0,H,2.0,0.0,0.0,0.0
2020-21,3/1/2021,Sociedad,9,3,10,7,3.0,1.0,Osasuna,4,9,6,10,1.0,4.0,D,1.0,1.0,0.0,1.0
2020-21,3/1/2021,Huesca,6,8,5,16,1.0,2.0,Barcelona,12,3,10,4,8.0,0.0,A,0.0,1.0,0.0,1.0
2020-21,4/1/2021,Valencia,3,5,6,14,2.0,2.0,Cadiz,5,6,5,15,3.0,3.0,D,1.0,1.0,0.0,0.0
2020-21,6/1/2021,Ath Bilbao,3,7,3,10,0.0,3.0,Barcelona,6,5,8,4,2.0,3.0,A,2.0,3.0,1.0,2.0
2020-21,8/1/2021,Celta,0,0,0,-1,0.0,0.0,Villarreal,0,0,0,-1,0.0,0.0,A,0.0,4.0,0.0,4.0
2020-21,9/1/2021,Sevilla,0,0,0,-1,0.0,0.0,Sociedad,0,0,0,-1,0.0,0.0,H,3.0,2.0,2.0,2.0
2020-21,9/1/2021,Granada,0,0,0,-1,0.0,0.0,Barcelona,0,0,0,-1,0.0,0.0,A,0.0,4.0,0.0,3.0
2020-21,9/1/2021,Osasuna,0,0,0,-1,0.0,0.0,Real Madrid,0,0,0,-1,0.0,0.0,D,0.0,0.0,0.0,0.0
